,name,ratings,review_count,ctype,years,hq,employees
809,Coca-Cola Compan...,4.3,(718 Reviews),Private,137 years old,Atlanta + 143 more,201-500 Employees (India)
810,Goldman Sachs,3.6,(717 Reviews),Private,20 years old,"New York,New York + 13 more",10k-50k Employees (India)
811,Tietoevry,4.2,(717 Reviews),Public,55 years old,Helsinki + 6 more,1k-5k Employees (India)
812,Hinduja Leyland ...,4.1,(717 Reviews),Private,17 years old,"Chennai,Tamil Nadu + 204 more",1k-5k Employees (India)
813,Apotex Research,4.4,(716 Reviews),Private,20 years old,"Brantford,Ontario + 12 more",201-500 Employees (India)
814,TechnipFMC,3.9,(716 Reviews),Private,6 years old,Paris + 35 more,1k-5k Employees (India)
815,Sunknowledge Ser...,4.2,(715 Reviews),Private,17 years old,"New York,New York + 4 more",51-200 Employees (India)
816,BGR Energy Syste...,3.8,(714 Reviews),Public,38 years old,"Nellore,Andhra Pradesh + 43 more",1k-5k Employees (India)
817,Lemon Tree Hotel...,4.1,(714 Reviews),Public,21 years old,"Delhi/NCR,Delhi + 55 more",1k-5k Employees (India)
818,JioMart,3.9,(714 Reviews),Kolkata + 194 more,,51-200 Employees (India),
819,Arthur J. Gallag...,3.9,(713 Reviews),Private,21 years old,"Pune,Maharashtra + 7 more",1k-5k Employees (India)
820,Tata 1mg,3.8,(712 Reviews),Private,8 years old,"Gurgaon,Haryana + 46 more",1k-5k Employees (India)
821,1point1 Solution...,3.4,(710 Reviews),Public,15 years old,"Navi Mumbai,Maharashtra + 13 more",5k-10k Employees (India)
822,Hatsun Agro Prod...,3.9,(709 Reviews),Public,53 years old,"Chennai,Tamil Nadu + 79 more",1k-5k Employees (India)
823,TE Connectivity,4.1,(707 Reviews),Private,82 years old,"Schaffhausen,Schaffhausen + 8 more",501-1k Employees (India)
824,HARMAN,3.8,(706 Reviews),Public,14 years old,"Stamford,Connecticut + 21 more",5k-10k Employees (India)
825,Viraj Profiles,3.8,(706 Reviews),Private,23 years old,"Mumbai,Maharashtra + 12 more",5k-10k Employees (India)
826,MDIndia Health I...,3.9,(704 Reviews),Private,23 years old,"Pune,Maharashtra + 67 more",5k-10k Employees (India)
827,Vistaar Finance,4.2,(702 Reviews),Private,13 years old,"Bangalore,Karnataka + 154 more",1k-5k Employees (India)
828,V2 Retail,3.6,(702 Reviews),Public,22 years old,"Delhi/NCR,Delhi + 78 more",501-1k Employees (India)
829,Schaeffler India,4.2,(702 Reviews),Public,77 years old,"Mumbai,Maharashtra + 18 more",1k-5k Employees (India)
830,Kirloskar Oil En...,4.1,(701 Reviews),Public,77 years old,"Pune,Maharashtra + 69 more",1k-5k Employees (India)
831,Shriram Life Ins...,4,(699 Reviews),Private,18 years old,"Hyderabad/Secunderabad,Telangana + 192 more",1k-5k Employees (India)
832,JK Lakshmi Cemen...,4,(699 Reviews),Public,41 years old,"Delhi/NCR,New Delhi + 97 more",1k-5k Employees (India)
833,Rockman Industri...,3.8,(699 Reviews),Private,63 years old,"Delhi/NCR,Delhi + 27 more",1k-5k Employees (India)
834,QualityKiosk Tec...,3.8,(699 Reviews),Private,23 years old,"Mumbai,Maharashtra + 12 more",1k-5k Employees (India)
835,RBL FinServe,4.1,(699 Reviews),Private,18 years old,"Mumbai,Maharashtra + 238 more",5k-10k Employees (India)
836,Tata AutoComp Sy...,4,(698 Reviews),Public,25 years old,"Pune,Maharashtra + 24 more",1k-5k Employees (India)
837,Ceasefire Indust...,3.3,(697 Reviews),Private,21 years old,Noida + 64 more,1k-5k Employees (India)
838,Tata Chemicals,4.2,(696 Reviews),Public,85 years old,"Mumbai,Maharashtra + 74 more",1k-5k Employees (India)
839,Decathlon,4.1,(696 Reviews),Private,47 years old,Lille + 59 more,1k-5k Employees (India)
840,Novo Nordisk,4,(695 Reviews),Private,100 years old,"New York City,New York + 54 more",1k-5k Employees (India)
841,Aditya Birla Hea...,3.9,(695 Reviews),Private,8 years old,Mumbai + 135 more,1k-5k Employees (India)
842,Onward Technolog...,3.4,(693 Reviews),Public,32 years old,"Eindhoven,North Brabant + 56 more",201-500 Employees (India)
843,PNC Infratech,4,(693 Reviews),Public,24 years old,"Delhi/NCR,Delhi + 65 more",5k-10k Employees (India)
844,Parexel Internat...,4.1,(693 Reviews),Private,41 years old,Massachusetts + 6 more,1k-5k Employees (India)
845,Feedback Infrast...,3.6,(691 Reviews),Private,33 years old,"Gurgaon/Gurugram,Haryana + 108 more",5k-10k Employees (India)
846,Hathway,3.7,(690 Reviews),Private,64 years old,"Mumbai,Maharashtra + 44 more",1k-5k Employees (India)
847,Barbeque Nation,4.1,(690 Reviews),Private,17 years old,"Bangalore/Bengaluru,Karnataka + 56 more",5k-10k Employees (India)
848,Dana Anand,4.3,(689 Reviews),Private,30 years old,"Delhi/NCR,Delhi + 36 more",1k-5k Employees (India)
849,Medhaj Techno Co...,4.1,(688 Reviews),Private,16 years old,"Lucknow,Uttar Pradesh + 100 more",1k-5k Employees (India)
850,Worley,4,(687 Reviews),Private,52 years old,"North Sydney,North Sydney + 33 more",1k-5k Employees (India)
851,Shubham Housing ...,4.1,(686 Reviews),Private,13 years old,"Gurgaon,Haryana + 93 more",10k-50k Employees (India)
852,Hyundai Mobis,3.8,(686 Reviews),Private,6 years old,"Kanchipuram,Tamil Nadu + 35 more",51-200 Employees (India)
853,Bosch Chassis Sy...,4.2,(685 Reviews),Private,72 years old,Gerlingen + 18 more,1k-5k Employees (India)
854,Infinx,3.6,(684 Reviews),Private,11 years old,"Mumbai,Maharashtra + 19 more",1k-5k Employees (India)
855,Zydus Lifescienc...,4,(684 Reviews),Public,71 years old,"Ahmedabad,Gujarat + 35 more",10k-50k Employees (India)
856,Dixon Technologi...,4,(683 Reviews),Public,30 years old,"Noida,Uttar Pradesh + 28 more",1k-5k Employees (India)
857,Spandana Sphoort...,3.6,(683 Reviews),Public,25 years old,"Hyderabad/Secunderabad,Telangana + 197 more",10k-50k Employees (India)
858,TK Elevator,4,(680 Reviews),Private,28 years old,Essen + 60 more,1k-5k Employees (India)
859,Aarvee Associate...,3.8,(678 Reviews),Private,34 years old,"Hyderabad/Secunderabad,Telangana + 113 more",1k-5k Employees (India)
860,Toppr,3.5,(676 Reviews),Private,10 years old,"Mumbai,Maharashtra + 42 more",501-1k Employees (India)
861,FastInfo,4.3,(675 Reviews),Private,4 years old,"Kolkata,West Bengal + 6 more",501-1k Employees (India)
862,Foxconn,4,(674 Reviews),Private,49 years old,Taipei + 25 more,10k-50k Employees (India)
863,R Systems Intern...,3.4,(674 Reviews),Public,30 years old,"El Dorado Hills,California + 10 more",1k-5k Employees (India)
864,Sundaram Clayto...,4.1,(673 Reviews),Public,61 years old,"Chennai,Tamil Nadu + 21 more",1k-5k Employees (India)
865,OM Logistics,4,(673 Reviews),Private,24 years old,"Delhi/NCR,Delhi + 90 more",1k-5k Employees (India)
866,Godrej Propertie...,3.7,(673 Reviews),Public,33 years old,"Mumbai,Maharashtra + 23 more",1k-5k Employees (India)
867,Columbia Asia,4.4,(672 Reviews),Private,18 years old,"Bangalore/Bengaluru,Karnataka + 18 more",1k-5k Employees (India)
868,Orion Edutech,3.2,(672 Reviews),Private,17 years old,Kolkata + 99 more,5k-10k Employees (India)
869,Canara Bank,3.5,(672 Reviews),Public,117 years old,"Bangalore/Bengaluru,Karnataka + 128 more",50k-1 Lakh Employees (India)
870,Nilkamal,3.9,(670 Reviews),Public,42 years old,"Mumbai,Maharashtra + 84 more",1k-5k Employees (India)
871,Wistron,3.8,(669 Reviews),Taipei + 11 more,201-500 Employees (India),22 years old,
872,Kirloskar Brothe...,4,(668 Reviews),Public,135 years old,Pune + 47 more,1k-5k Employees (India)
873,Nirma,4.3,(667 Reviews),Private,33 years old,"Ahmedabad,Gujarat + 48 more",10k-50k Employees (India)
874,Hindustan Zinc,3.9,(667 Reviews),Public,57 years old,"Udaipur,Rajasthan + 21 more",1k-5k Employees (India)
875,Next Education I...,3.7,(666 Reviews),Private,16 years old,"Hyderabad/Secunderabad,Telangana + 72 more",1k-5k Employees (India)
876,Altimetrik,3.9,(666 Reviews),Private,11 years old,"Southfield,Michigan + 8 more",1k-5k Employees (India)
877,Capacit'e Infrap...,3.6,(665 Reviews),Public,11 years old,"Mumbai,Maharashtra + 26 more",501-1k Employees (India)
878,Ion Exchange Ind...,3.8,(665 Reviews),Public,59 years old,"Mumbai,Maharashtra + 69 more",1k-5k Employees (India)
879,Unicharm,4.2,(665 Reviews),Private,62 years old,"Mita,Tokyo + 115 more",1k-5k Employees (India)
880,The Ramco Cement...,4.2,(664 Reviews),Public,62 years old,"Chennai,Tamil Nadu + 74 more",1k-5k Employees (India)
881,AstraZeneca,4.2,(664 Reviews),Public,24 years old,"Cambridge,Cambridgeshire + 33 more",1k-5k Employees (India)
882,FLSmidth,3.7,(663 Reviews),Private,141 years old,"Copenhagen,Valby + 17 more",1k-5k Employees (India)
883,Spinny,4,(663 Reviews),Private,8 years old,"Gurgaon,Haryana + 33 more",1k-5k Employees (India)
884,Urban Company,3.6,(662 Reviews),Private,8 years old,"Gurgaon,Haryana + 42 more",1k-5k Employees (India)
885,Colgate Palmoliv...,4.3,(662 Reviews),Public,86 years old,"New York,New York + 87 more",1k-5k Employees (India)
886,VIP Industries,4,(659 Reviews),Public,52 years old,"Mumbai,Maharashtra + 74 more",501-1k Employees (India)
887,K12 Techno Servi...,3.1,(659 Reviews),Private,13 years old,"Bangalore/Bengaluru,Karnataka + 24 more",1k-5k Employees (India)
888,Barclays Global ...,4.2,(658 Reviews),Private,16 years old,Pune + 9 more,201-500 Employees (India)
889,Shalby Hospitals,4.6,(657 Reviews),Public,29 years old,"Ahmedabad,Gujarat + 18 more",1k-5k Employees (India)
890,VMware Software,4.3,(657 Reviews),Private,25 years old,"Palo Alto,California + 9 more",5k-10k Employees (India)
891,Edelweiss Tokio ...,4,(656 Reviews),"Mumbai,Maharashtra + 106 more",1k-5k Employees (India),12 years old,
892,Pricol,4,(656 Reviews),Public,48 years old,"Coimbatore,Tamil Nadu + 20 more",5k-10k Employees (India)
893,Fidelity Investm...,4.4,(656 Reviews),Private,77 years old,"Boston,Massachusetts + 10 more",5k-10k Employees (India)
894,Pizza Hut,4,(655 Reviews),Private,65 years old,"Plano,Texas + 86 more",1k-5k Employees (India)
895,Xyz Company,3.8,(655 Reviews),Mumbai + 75 more,,51-200 Employees (Global),
896,Fusion BPO Servi...,3.1,(653 Reviews),Private,19 years old,"Draper,Utah + 18 more",1k-5k Employees (India)
897,Sonata Software,4,(652 Reviews),Public,37 years old,"Bangalore/Bengaluru,Karnataka + 10 more",1k-5k Employees (India)
898,C&S Electric,3.9,(651 Reviews),Private,57 years old,"Delhi/NCR,New Delhi + 40 more",5k-10k Employees (India)
899,Morningstar,4.1,(650 Reviews),Private,39 years old,"Chicago,Illinois + 11 more",1k-5k Employees (India)
900,Sundaram Finance,4.2,(648 Reviews),Public,69 years old,"Chennai,Tamil Nadu + 190 more",1k-5k Employees (India)
901,Airtel Payments ...,4.2,(647 Reviews),Public,7 years old,"Delhi/NCR,New Delhi + 165 more",501-1k Employees (India)
902,Gmmco,4.1,(646 Reviews),Private,56 years old,"Chennai,Tamil Nadu + 71 more",1k-5k Employees (India)
903,Trade India (Inf...,3.4,(646 Reviews),Private,27 years old,"Noida,Uttar Pradesh + 32 more",1k-5k Employees (India)
904,Perfetti Van Mel...,4.3,(645 Reviews),Private,22 years old,Lainate + 102 more,1k-5k Employees (India)
905,CADD Centre Trai...,4,(644 Reviews),Private,35 years old,"Chennai,Tamil Nadu + 118 more",1k-5k Employees (India)
906,Punjab National ...,4,(643 Reviews),Private,129 years old,"Delhi/NCR,Delhi + 143 more",1 Lakh+ Employees (India)
907,UBS,3.9,(642 Reviews),Private,8 years old,Zurich + 24 more,5k-10k Employees (India)
908,eClinicalWorks,4.1,(638 Reviews),Private,24 years old,"Westborough,Massachusetts + 9 more",1k-5k Employees (India)
909,Ruchi Soya Indus...,4.1,(637 Reviews),Public,37 years old,"Mumbai,Maharashtra + 99 more",1k-5k Employees (India)
910,Thomas Cook,3.8,(636 Reviews),Public,142 years old,"Mumbai,Maharashtra + 72 more",1k-5k Employees (India)
911,CarDekho,3.5,(636 Reviews),Private,15 years old,"Jaipur,Rajasthan + 54 more",1k-5k Employees (India)
912,ThyssenKrupp Ind...,4.1,(635 Reviews),Private,76 years old,"Pune,Maharashtra + 38 more",1k-5k Employees (India)
913,Visionet Systems,3.3,(634 Reviews),Private,28 years old,"Cranbury,New Jersey + 8 more",1k-5k Employees (India)
914,Mahindra First C...,4,(634 Reviews),Private,29 years old,"Mumbai,Maharashtra + 99 more",201-500 Employees (India)
915,Provana,3.7,(633 Reviews),Private,12 years old,"Lisle,Illinois + 2 more",501-1k Employees (India)
916,CenturyPly,4,(632 Reviews),Public,37 years old,"Kolkata,West Bengal + 82 more",1k-5k Employees (India)
917,iMerit,3.9,(629 Reviews),Private,11 years old,"Kolkata,West Bengal + 8 more",1k-5k Employees (India)
918,Teva Pharmaceuti...,4.2,(627 Reviews),Private,44 years old,"Dublin,Dublin + 30 more",1k-5k Employees (India)
919,C.R.I. Pumps,3.9,(627 Reviews),Private,62 years old,"Coimbatore,Tamil Nadu + 49 more",1k-5k Employees (India)
920,Egis  India Cons...,4.1,(627 Reviews),Private,18 years old,"Gurgaon/Gurugram,Haryana + 86 more",1k-5k Employees (India)
921,Chetu,3.4,(626 Reviews),Private,23 years old,"Plantation,Florida + 3 more",1k-5k Employees (India)
922,GEP Worldwide,3.8,(626 Reviews),Private,24 years old,"Clark,New Jersey + 6 more",1k-5k Employees (India)
923,Exela Technologi...,3.4,(626 Reviews),Private,12 years old,"Irving,Texas + 13 more",1k-5k Employees (India)
924,LOREAL,4.2,(625 Reviews),Private,32 years old,Clichy + 66 more,1k-5k Employees (India)
925,Bajaj Housing Fi...,3.8,(624 Reviews),Private,15 years old,"Pune,Maharashtra + 105 more",1k-5k Employees (India)
926,Colliers Interna...,4,(623 Reviews),Private,28 years old,Ontario + 31 more,1k-5k Employees (India)
927,Genius Consultan...,3.8,(623 Reviews),Private,30 years old,"Kolkata,West Bengal + 66 more",201-500 Employees (India)
928,Vedanta Resource...,3.8,(623 Reviews),Public,47 years old,London + 57 more,1k-5k Employees (India)
929,Syngenta,4.3,(623 Reviews),Private,23 years old,"Basel,Basel + 113 more",501-1k Employees (India)
930,CSB Bank,3.4,(622 Reviews),Private,103 years old,"Thrissur/Trichur,Kerala + 122 more",1k-5k Employees (India)
931,MakeMyTrip,3.8,(622 Reviews),Public,23 years old,"Gurgaon,Haryana + 35 more",1k-5k Employees (India)
932,Diageo,4.1,(621 Reviews),Public,26 years old,London + 68 more,1k-5k Employees (India)
933,Karvy Computersh...,3.7,(621 Reviews),Hyderabad/Secunderabad + 60 more,,,
934,Karvy Stock Brok...,3.5,(621 Reviews),Private,33 years old,"Hyderabad/Secunderabad,Telangana + 97 more",1k-5k Employees (India)
935,INDO-MIM,4.2,(621 Reviews),Private,25 years old,"Bangalore/Bengaluru,Karnataka + 13 more",1k-5k Employees (India)
936,Future Supply Ch...,4.3,(620 Reviews),Public,17 years old,"Mumbai,Maharashtra + 58 more",1k-5k Employees (India)
937,Better.com,3,(619 Reviews),"New York City,New York + 3 more",201-500 Employees (India),7 years old,
938,Hitachi Astemo,4.1,(619 Reviews),Neemrana + 21 more,,1k-5k Employees (India),
939,MAHLE ANAND Filt...,4.2,(618 Reviews),Private,18 years old,"Stuttgart,Germany + 22 more",501-1k Employees (India)
940,Secure Meters,4.1,(618 Reviews),Public,36 years old,"Chandlers Ford,Eastleigh + 51 more",1k-5k Employees (India)
941,Yashoda Hospital...,3.9,(617 Reviews),Private,34 years old,"Ghaziabad,Uttar Pradesh + 17 more",501-1k Employees (India)
942,Marks & Spencer,4.3,(617 Reviews),Private,139 years old,London + 50 more,1k-5k Employees (India)
943,Huhtamaki,3.9,(617 Reviews),Private,88 years old,Espoo + 29 more,1k-5k Employees (India)
944,Reliance AJIO,3.8,(617 Reviews),Bengaluru + 159 more,1k-5k Employees (India),7 years old,
945,Nexa,4.1,(615 Reviews),Private,8 years old,"Delhi/NCR,Delhi + 154 more",1k-5k Employees (India)
946,Nippon Paint Ind...,4,(615 Reviews),Private,142 years old,Osaka + 89 more,1k-5k Employees (India)
947,Indusind Marketi...,4,(615 Reviews),Private,21 years old,"Chennai,Tamil Nadu + 235 more",501-1k Employees (India)
948,Sykes Business S...,3.5,(612 Reviews),Private,46 years old,"Tampa,Florida + 15 more",10k-50k Employees (India)
949,Jakson Group,3.9,(611 Reviews),Private,76 years old,"Noida,Uttar Pradesh + 63 more",1k-5k Employees (India)
950,Intel,4.3,(610 Reviews),Public,55 years old,"Santa Clara,California + 18 more",10k-50k Employees (India)
951,Ahluwalia Contra...,4,(610 Reviews),Public,58 years old,"Delhi/NCR,New Delhi + 35 more",1k-5k Employees (India)
952,Imperial Auto In...,3.8,(609 Reviews),Public,54 years old,"Faridabad,Haryana + 25 more",1k-5k Employees (India)
953,Panasonic Life S...,4.1,(609 Reviews),Mumbai + 70 more,1k-5k Employees (India),60 years old,
954,Evision Technose...,4.6,(608 Reviews),Private,11 years old,"Delhi/NCR,Delhi + 59 more",201-500 Employees (India)
955,Kinara Capital,4.4,(608 Reviews),Private,12 years old,"Bangalore,Karnataka + 97 more",1k-5k Employees (India)
956,Dassault Systeme...,4.1,(607 Reviews),Private,42 years old,"Velizy-villacoublay,Yvelines + 8 more",1k-5k Employees (India)
957,Neel Metal Produ...,4.1,(607 Reviews),Gurgaon + 25 more,,201-500 Employees (India),
958,TNQ Technologies,3.7,(607 Reviews),Private,25 years old,Chennai + 5 more,1k-5k Employees (India)
959,Jacobs Engineeri...,4.2,(607 Reviews),Private,76 years old,"Dallas,TX + 26 more",201-500 Employees (India)
960,Panacea Biotec,3.9,(605 Reviews),Public,39 years old,"Delhi/NCR,New Delhi + 44 more",1k-5k Employees (India)
961,THE LEELA PALACE...,4,(605 Reviews),Private,40 years old,"Mumbai,Maharashtra + 24 more",1k-5k Employees (India)
962,GAMMON INDIA,3.9,(604 Reviews),Public,101 years old,"Mumbai,Maharashtra + 65 more",11-50 Employees (India)
963,Nykaa,3.4,(604 Reviews),Public,11 years old,"Mumbai,Maharashtra + 54 more",1k-5k Employees (India)
964,TEKsystems,3.6,(604 Reviews),Private,40 years old,"Hanover,Maryland + 7 more",1k-5k Employees (India)
965,Karur Vysya Bank,3.7,(604 Reviews),Public,107 years old,"Karur,Tamil Nadu + 108 more",5k-10k Employees (India)
966,Pramerica Life I...,4,(603 Reviews),Private,9 years old,Gurgaon + 111 more,1k-5k Employees (India)
967,Meril,3.8,(602 Reviews),Private,17 years old,"Vapi,Gujarat + 52 more",1k-5k Employees (India)
968,Fluor Daniel Ind...,4.1,(602 Reviews),Private,111 years old,"Irving,Texas + 15 more",501-1k Employees (India)
969,ZF Steering Gear,3.7,(602 Reviews),Public,108 years old,"Pune,Maharashtra + 15 more",501-1k Employees (India)
970,Pernod Ricard,3.8,(601 Reviews),Private,48 years old,Paris + 84 more,1k-5k Employees (India)
971,Future Focus Inf...,3.5,(601 Reviews),Private,26 years old,Chennai + 47 more,1k-5k Employees (India)
972,Bank of India,3.9,(601 Reviews),Private,117 years old,"Mumbai,Maharashtra + 138 more",50k-1 Lakh Employees (India)
973,V5 Global Servic...,3.9,(601 Reviews),Private,18 years old,"Delhi/NCR,Delhi + 117 more",10k-50k Employees (India)
974,KIMS Hospital,4.2,(601 Reviews),Private,11 years old,"Hyderabad/Secunderabad,Telangana + 34 more",501-1k Employees (India)
975,JTEKT,4.2,(601 Reviews),Public,17 years old,Osaka + 17 more,501-1k Employees (India)
976,Metropolis Healt...,4,(600 Reviews),Private,43 years old,"Mumbai,Maharashtra + 74 more",1k-5k Employees (India)
977,Sandvik Asia,4.4,(599 Reviews),Private,161 years old,"Stockholm,Stockholm + 31 more",10k-50k Employees (Global)
978,Reliance Capital,3.8,(599 Reviews),Public,18 years old,"Navi Mumbai,Maharashtra + 81 more",1k-5k Employees (India)
979,Aviva Life Insur...,3.9,(599 Reviews),JV,327 years old,London + 88 more,1k-5k Employees (India)
980,Centum Electroni...,3.8,(598 Reviews),Public,29 years old,"Bangalore/Bengaluru,Karnataka + 9 more",1k-5k Employees (India)
981,SNC-Lavalin,4.3,(598 Reviews),Public,112 years old,"Montreal,Quebec + 46 more",1k-5k Employees (India)
982,Greaves Cotton,4.1,(598 Reviews),Public,164 years old,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India)
983,Medplus(optival ...,3.6,(597 Reviews),Private,17 years old,Hyderabad + 55 more,501-1k Employees (India)
984,KEI Industries,4.1,(597 Reviews),Public,55 years old,"Delhi/NCR,Delhi + 62 more",5k-10k Employees (India)
985,Brillio,3.5,(596 Reviews),Private,9 years old,"Edison,New Jersey + 7 more",1k-5k Employees (India)
986,Troikaa Pharmace...,3.9,(593 Reviews),Private,40 years old,"Ahmedabad,Gujarat + 60 more",1k-5k Employees (India)
987,Mswipe Technolog...,3.1,(593 Reviews),Private,12 years old,"Mumbai,Maharashtra + 71 more",1k-5k Employees (India)
988,Incedo,3.7,(592 Reviews),Private,12 years old,"Iselin,New Jersey + 8 more",1k-5k Employees (India)
989,Incedo,3.7,(592 Reviews),Private,12 years old,"Iselin,New Jersey + 8 more",1k-5k Employees (India)
990,Visionary RCM In...,3.4,(591 Reviews),Private,17 years old,"Chennai,Tamil Nadu + 10 more",1k-5k Employees (India)
991,Vedanta Aluminiu...,4,(591 Reviews),Private,20 years old,"Jharsuguda,Odisha + 25 more",1k-5k Employees (India)
992,Micromax Informa...,3.7,(591 Reviews),Private,23 years old,"Gurgaon/Gurugram,Haryana + 109 more",1k-5k Employees (India)
993,Acme Cleantech S...,3.9,(591 Reviews),Private,20 years old,"Gurgaon/Gurugram,Haryana + 76 more",1k-5k Employees (India)
994,CRB Tech Solutio...,4.3,(590 Reviews),Private,22 years old,"Pune,Maharashtra + 5 more",501-1k Employees (India)
995,HFCL,4.1,(590 Reviews),Public,36 years old,"Delhi/NCR,New Delhi + 77 more",1k-5k Employees (India)
996,Amazon Logistics,4.3,(589 Reviews),Hyderabad/Secunderabad + 90 more,,51-200 Employees (India),
997,Shriram General ...,3.7,(589 Reviews),Private,15 years old,"Jaipur,Rajasthan + 141 more",10k-50k Employees (India)
998,HT Media,3.5,(588 Reviews),Public,99 years old,"Delhi/NCR,Delhi + 34 more",1k-5k Employees (India)
999,Uber,4.2,(587 Reviews),Public,14 years old,"San Francisco,California + 39 more",1k-5k Employees (India)
1000,Samsung Engineer...,4.2,(587 Reviews),Private,17 years old,"Suwon-Si,Gyeonggi-Do + 42 more",1k-5k Employees (India)
1001,Birla Corporatio...,4.2,(587 Reviews),Public,104 years old,"Kolkata,India + 96 more",1k-5k Employees (India)
1002,Napino Auto & El...,4.1,(587 Reviews),Public,26 years old,"Gurgaon/Gurugram,Haryana + 6 more",1k-5k Employees (India)
1003,Duck Creek Techn...,4.6,(586 Reviews),LLP,23 years old,"Boston,Massachusetts + 3 more",501-1k Employees (India)
1004,Fareportal,3.3,(586 Reviews),Private,21 years old,"New York,New York + 7 more",1k-5k Employees (India)
1005,Precision Techse...,3.9,(585 Reviews),Private,24 years old,Chennai + 78 more,1k-5k Employees (India)
1006,Air India,4,(585 Reviews),Private,93 years old,"Delhi/NCR,New Delhi + 43 more",10k-50k Employees (India)
1007,Happiest Minds T...,4.1,(585 Reviews),Public,12 years old,"Bangalore,Karnataka + 11 more",1k-5k Employees (India)
1008,GVPR Engineers,4.1,(584 Reviews),Public,26 years old,"Hyderabad/Secunderabad,Telangana + 51 more",501-1k Employees (India)
1009,Allianz Technolo...,4.5,(584 Reviews),"Munich,Bavaria + 9 more",1k-5k Employees (India),133 years old,
1010,CALIBEHR,3.8,(584 Reviews),Private,44 years old,"Mumbai,Maharashtra + 96 more",1k-5k Employees (India)
1011,Parekh Integrate...,4.1,(583 Reviews),Private,42 years old,"Mumbai,Maharashtra + 64 more",1k-5k Employees (India)
1012,Vertiv,3.9,(583 Reviews),Private,7 years old,"Columbus,Ohio + 45 more",51-200 Employees (Global)
1013,B. G. Shirke Con...,4.1,(582 Reviews),Private,79 years old,"Pune,Maharashtra + 22 more",1k-5k Employees (India)
1014,Air India Sats A...,3.9,(582 Reviews),Private,13 years old,"Mumbai,Maharashtra + 22 more",1k-5k Employees (India)
1015,Wheels,4.1,(582 Reviews),Public,61 years old,"Chennai,Tamil Nadu + 26 more",1k-5k Employees (India)
1016,Fusion Microfina...,4.1,(581 Reviews),Private,13 years old,"Delhi,NCT + 162 more",5k-10k Employees (India)
1017,Bechtel,4.2,(580 Reviews),Private,125 years old,"Reston,Virginia + 20 more",1k-5k Employees (India)
1018,Tata Steel BSL,4,(580 Reviews),Public,36 years old,"Mumbai,Maharashtra + 26 more",10k-50k Employees (India)
1019,Hikal,4,(580 Reviews),Private,35 years old,"Mumbai,Maharashtra + 12 more",1k-5k Employees (India)
1020,Samasta Microfin...,4.1,(579 Reviews),Public,15 years old,"Bangalore,Karnataka + 183 more",5k-10k Employees (India)
1021,Galfar,4.2,(579 Reviews),Private,51 years old,Muscat + 29 more,1k-5k Employees (India)
1022,United Breweries,3.8,(578 Reviews),Public,166 years old,"Bangalore/Bengaluru,Karnataka + 75 more",1k-5k Employees (India)
1023,Everest Industri...,4.2,(578 Reviews),Public,89 years old,"Noida,Uttar Pradesh + 60 more",1k-5k Employees (India)
1024,Medha Servo Driv...,4.2,(578 Reviews),Private,39 years old,"Hyderabad/Secunderabad,Telangana + 36 more",501-1k Employees (India)
1025,Qualcomm,4.1,(577 Reviews),Private,27 years old,"San Diego,California + 13 more",10k-50k Employees (India)
1026,Godfrey Phillips...,4.2,(577 Reviews),Public,90 years old,"Delhi/NCR,New Delhi + 73 more",1k-5k Employees (India)
1027,Natco Pharma,3.9,(576 Reviews),Public,42 years old,"Hyderabad/Secunderabad,Telangana + 32 more",1k-5k Employees (India)
1028,Godrej Agrovet,4.1,(575 Reviews),Mumbai + 92 more,,1k-5k Employees (India),
1029,Patra Corporatio...,3.8,(575 Reviews),Private,18 years old,"El Dorado Hills,California + 10 more",1k-5k Employees (India)
1030,Telenor,4.5,(573 Reviews),Private,14 years old,"Fornebu,Fornebu + 114 more",501-1k Employees (India)
1031,Softenger,4.2,(573 Reviews),Private,24 years old,"Pune,Maharashtra + 22 more",501-1k Employees (India)
1032,Mu Sigma,3.1,(573 Reviews),Private,19 years old,"Northbrook,Illinois + 5 more",1k-5k Employees (India)
1033,Aristo Pharmaceu...,4.1,(572 Reviews),Private,52 years old,"Mumbai,Maharashtra + 65 more",1k-5k Employees (India)
1034,Samsung Electron...,4.2,(571 Reviews),Noida + 83 more,,1 Lakh+ Employees (Global),
1035,Atlas Copco,4.3,(569 Reviews),Public,150 years old,"Nacka Municipality,Stockholm + 44 more",1k-5k Employees (India)
1036,GlaxoSmithKline ...,4.5,(569 Reviews),Public,23 years old,London + 88 more,1k-5k Employees (India)
1037,Medlife,3.7,(568 Reviews),Private,9 years old,"Bangalore,Karnataka + 28 more",1k-5k Employees (India)
1038,PayPal,4.1,(568 Reviews),Private,25 years old,"San Jose,California + 6 more",1k-5k Employees (India)
1039,ICICI Prudential...,3.9,(568 Reviews),JV,30 years old,New Delhi + 123 more,1k-5k Employees (India)
1040,Sri Chaitanya Sc...,4,(567 Reviews),Public,37 years old,Hyderabad + 83 more,11-50 Employees (India)
1041,DuPont,4.2,(567 Reviews),Private,221 years old,"Wilmington,Delaware Valley + 46 more",1k-5k Employees (India)
1042,HPCL-Mittal Ener...,4.4,(566 Reviews),JV,16 years old,"Noida,Uttar Pradesh + 19 more",1k-5k Employees (India)
